"region","city","lat","lng","total_2016","median_income","percent_pop_aian","percent_pop_change","percent_pop_poverty","comm_pcnt_initial","comm_age_change_1980_2016","subs_year","subs_percent_households_harvesting","subs_percent_households_using","subs_lbs_per_capita_harvest","pu_lbs_harvested","pu_lbs_per_capita","sport_license_per_capita"
"Alaska Peninsula and Aleutian Islands","Adak",51.88,-176.6580556,122,75000,0.0983606557377049,NA,0.368852459016393,NA,NA,NA,NA,NA,NA,NA,NA,0.0901639344262295
"Kodiak","Akhiok",56.9455556,-154.1702778,74,25000,0.932432432432432,-0.295238095238095,0.297297297297297,0.2,9,2004,100,100,121.9,NA,NA,0.243243243243243
"Kuskokwim","Akiachak",60.9094444,-161.4313889,584,32917,0.958904109589041,0.333333333333333,0.297945205479452,0.738095238095238,9.5,1998,87.7,97.5,649.15,40.62,0.0695547945205479,0.272260273972603
"Kuskokwim","Akiak",60.9122222,-161.2138889,407,41563,0.987714987714988,1.05555555555556,0.388206388206388,-0.25,23.5,2010,66.66666,95.2381,291.9764,NA,NA,0.162162162162162
"Alaska Peninsula and Aleutian Islands","Akutan",54.1355556,-165.7730556,782,24464,0.127877237851662,3.62721893491124,0.166240409207161,NA,NA,2008,58.3,88.9,146.222,NA,NA,0.0370843989769821
"Yukon","Alakanuk",62.6888889,-164.6152778,737,32000,0.937584803256445,0.411877394636015,0.431478968792402,-0.221052631578947,6.5,1980,100,NA,197.57,NA,NA,0.207598371777476
"Yukon","Alatna",66.5638889,-152.6666667,1,NA,1,NA,0,NA,NA,2011,33.33333,50,27.32397,NA,NA,NA
"Yukon","Alcan Border",NA,NA,36,NA,0.138888888888889,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bristol Bay","Aleknagik",59.2730556,-158.6177778,189,40833,0.899470899470899,0.227272727272727,0.142857142857143,-0.703703703703704,12.5,2008,87.5,100,143.3626,NA,NA,0.455026455026455
"Kodiak","Aleneva",58.06,-152.9097222,45,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yukon","Allakaket",66.5655556,-152.6455556,105,27344,0.752380952380952,-0.355828220858896,0.104761904761905,NA,NA,2011,35.71429,66.66666,151.8305,0,0,0.314285714285714
"Kotzebue","Ambler",67.0861111,-157.8513889,295,41429,0.955932203389831,0.536458333333333,0.230508474576271,-0.5,4.5,2012,39.6,67.9,35.73885,391.81,1.32816949152542,0.145762711864407
"Arctic","Anaktuvuk Pass",68.1433333,-151.7358333,273,54375,0.908424908424908,0.344827586206897,0.256410256410256,NA,NA,2014,1.9,41.5,0.7115293,440.97,1.61527472527473,0.120879120879121
"Cook Inlet","Anchorage",61.2180556,-149.9002778,299321,80862,0.115314328095924,0.715985117324329,0.0790188459880864,0.22972972972973,14,NA,NA,NA,NA,912035.6,3.04701507745865,0.221989102000862
"Cook Inlet","Anchor Point",59.7766667,-151.8313889,2018,54855,0.068384539147671,7.92920353982301,0.0847373637264618,-0.184210526315789,22,NA,NA,NA,NA,9865.03,4.88851833498513,0.546580773042616
"Yukon","Anderson",64.3441667,-149.1869444,168,90000,0.0892857142857143,-0.67504835589942,0,NA,NA,2015,40,74,36.72869,301.58,1.79511904761905,0.30952380952381
"Southeast","Angoon",57.5033333,-134.5838889,448,27250,0.544642857142857,-0.0365591397849462,0.234375,-0.841269841269841,3.5,2012,64.7,92.2,37.2,NA,NA,0.366071428571429
"Kuskokwim","Aniak",61.5783333,-159.5222222,526,59464,0.798479087452472,0.542521994134897,0.239543726235741,0.666666666666667,26.5,2009,77.30496,91.48936,190.045,NA,NA,0.355513307984791
"Yukon","Anvik",62.6561111,-160.2066667,86,21875,1,-0.245614035087719,0.244186046511628,4,27,2011,79.17,100,231.7781,NA,NA,0.418604651162791
"Yukon","Arctic Village",68.1269444,-145.5377778,137,25000,0.91970802919708,0.234234234234234,0.45985401459854,NA,NA,NA,NA,NA,NA,84.01,0.613211678832117,0.0364963503649635
"Alaska Peninsula and Aleutian Islands","Atka",52.1961111,-174.2005556,51,57500,0.666666666666667,-0.451612903225806,0.0196078431372549,-1,NA,1994,78.6,96.4,94.8,NA,NA,0.196078431372549
"Kuskokwim","Atmautluak",60.8669444,-162.2730556,231,NA,1,0.0547945205479452,0.346320346320346,-0.285714285714286,14,NA,NA,NA,NA,NA,NA,0.0216450216450216
"Arctic","Atqasuk",70.4691667,-157.3994444,167,57500,0.964071856287425,NA,0.221556886227545,1,NA,NA,NA,NA,NA,57.39,0.343652694610778,0.0838323353293413
"Alaska Peninsula and Aleutian Islands","Attu Station",NA,NA,15,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yukon","Badger",64.8,-147.5333333,19830,77384,0.101613716591024,NA,0.0733232476046394,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arctic","Utqiaġvik",71.2905556,-156.7886111,4316,78804,0.669369786839666,0.955595831445401,0.139481000926784,3,NA,2014,23.9,68.7,10.77441,5753.13,1.33297729379055,0.0713623725671918
"Cook Inlet","Bear Creek",60.1641667,-149.395,1389,82788,0.128869690424766,NA,0.107991360691145,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yukon","Beaver",66.3594444,-147.3963889,46,24000,1,-0.303030303030303,0.282608695652174,NA,NA,2011,44,100,154.3921,NA,NA,0.41304347826087
"Cook Inlet","Beluga",61.1411111,-151.0827778,5,NA,0.4,NA,0.4,NA,NA,2006,85.7,92.9,87.6,NA,NA,0.6
"Kuskokwim","Bethel",60.7922222,-161.7558333,6365,77631,0.669599371563236,0.779921700223714,0.13197172034564,0.124137931034483,21,2012,52.1,90.3,68.75323,494.11,0.0776292223095051,0.143126472898665
"Yukon","Bettles",66.9188889,-151.5161111,36,68125,0.25,NA,0,NA,NA,2011,12.5,37.5,4.2365,62.16,1.72666666666667,0.0277777777777778
"Yukon","Big Delta",64.1525,-145.8422222,577,80250,0.0329289428076256,1.02456140350877,0.102253032928943,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cook Inlet","Big Lake",61.5213889,-149.9544444,3552,68875,0.124718468468468,7.66341463414634,0.110923423423423,9,21.5,NA,NA,NA,NA,9187.14,2.58646959459459,0.304335585585586
"Yukon","Birch Creek",66.2590355,-145.8190168,3,NA,1,-0.90625,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Norton Sound","Brevig Mission",65.3347222,-166.4891667,417,33958,0.992805755395683,2.02173913043478,0.537170263788969,NA,NA,2006,64.5,66.1,89.25233,NA,NA,0.0431654676258993
"Kotzebue","Buckland",65.9797222,-161.1230556,616,44750,0.974025974025974,2.48022598870056,0.233766233766234,2,NA,2003,38.55422,65.06024,58.73017,0,0,0.0665584415584416
"Cook Inlet","Buffalo Soapstone",NA,NA,836,67321,0.123205741626794,NA,0.0538277511961723,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cook Inlet","Butte",61.5422222,-149.0333333,3905,77750,0.0581306017925736,NA,0.102176696542894,NA,NA,NA,NA,NA,NA,NA,NA,0.000256081946222791
"Yukon","Cantwell",63.3916667,-148.9508333,204,55313,0.166666666666667,1.29213483146067,0.0833333333333333,1,NA,2012,27.2,70.9,15.18136,325.69,1.59651960784314,0.558823529411765
"Yukon","Central",65.5725,-144.8030556,42,21250,0.0714285714285714,0.166666666666667,0.0714285714285714,NA,NA,NA,NA,NA,NA,97.13,2.31261904761905,0.547619047619048
"Yukon","Chalkyitsik",66.6544444,-143.7222222,120,32500,0.875,0.2,0.316666666666667,NA,NA,NA,NA,NA,NA,NA,NA,0.225
"Cook Inlet","Chase",62.4491667,-150.1016667,8,NA,0,NA,0,NA,NA,2012,68.7,93.7,44.76698,NA,NA,NA
"Kuskokwim","Chefornak",60.16,-164.2658333,507,53333,0.970414201183432,1.20434782608696,0.153846153846154,-0.4,26,NA,NA,NA,NA,NA,NA,0.0690335305719921
"Yukon","Chena Ridge",NA,NA,5744,92405,0.110376044568245,NA,0.0468314763231198,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Prince William Sound","Chenega",60.0663707,-148.012387,51,13333,0.823529411764706,NA,0.549019607843137,NA,NA,2014,50,90,126.7691,NA,NA,NA
"Yukon","Chevak",61.5277778,-165.5863889,1194,41417,0.896147403685092,1.56223175965665,0.323283082077052,1,NA,NA,NA,NA,NA,40.62,0.0340201005025126,0.092964824120603
"Cook Inlet","Chickaloon",61.7966667,-148.4627778,258,41406,0.0697674418604651,NA,0.170542635658915,NA,NA,1982,50,66.7,38.53,1369.03,5.30631782945736,0.151162790697674
